department,course_number
"ENE,RES",190
"ENE,RES",199
"ENE,RES",275
"ENE,RES",290
"ENE,RES",292B
"ENE,RES",292D
"ENE,RES",295
"ENE,RES",298
"ENE,RES",298N
"ENE,RES",299
ENGIN,7
ENGIN,25
ENGIN,26
ENGIN,27
ENGIN,45
ENGIN,98
ENGIN,120
ENGIN,157AC
ENGIN,194
ENGIN,198
ENGIN,201
ENGIN,C233
ENGIN,272
ENGIN,295
ENGIN,296MB
ENGIN,298B
ENGLISH,R1A
ENGLISH,R1B
ENGLISH,20
ENGLISH,24
ENGLISH,26
ENGLISH,43B
ENGLISH,45A
ENGLISH,45B
ENGLISH,45C
ENGLISH,84
ENGLISH,98
ENGLISH,98BC
ENGLISH,99
ENGLISH,101
ENGLISH,111
ENGLISH,114A
ENGLISH,117S
ENGLISH,122
ENGLISH,125E
ENGLISH,126
ENGLISH,128
ENGLISH,130B
ENGLISH,132
ENGLISH,133B
ENGLISH,C136
ENGLISH,137B
ENGLISH,137T
ENGLISH,138
ENGLISH,141
ENGLISH,143A
ENGLISH,143B
ENGLISH,143N
ENGLISH,161
ENGLISH,165
ENGLISH,166
ENGLISH,170
ENGLISH,172
ENGLISH,173
ENGLISH,177
ENGLISH,180A
ENGLISH,180E
ENGLISH,180N
ENGLISH,180Z
ENGLISH,190
ENGLISH,H195B
ENGLISH,198
ENGLISH,198BC
ENGLISH,199
ENGLISH,202
ENGLISH,203
ENGLISH,205B
ENGLISH,243B
ENGLISH,246F
ENGLISH,250
ENGLISH,298
ENGLISH,299
ENGLISH,310
ENGLISH,602
ENV DES,1
ENV DES,R3B
ENV DES,4B
ENV DES,4C
ENV DES,100
ENV DES,101A
ENV DES,106
ENV DES,252
ESPM,C10
ESPM,15
ESPM,C46
ESPM,50AC
ESPM,90
ESPM,98
ESPM,98BC
ESPM,99
ESPM,100ES
ESPM,102C
ESPM,102D
ESPM,111
ESPM,113
ESPM,114
ESPM,C128
ESPM,131
ESPM,132
ESPM,C133
ESPM,134
ESPM,144
ESPM,147
ESPM,C148
ESPM,150
ESPM,152
ESPM,156
ESPM,158
ESPM,C159
ESPM,165
ESPM,166
ESPM,C167
ESPM,C170
ESPM,H175B
ESPM,175B
ESPM,H175L
ESPM,175L
ESPM,C177
ESPM,C180
ESPM,181A
ESPM,C183
ESPM,186
ESPM,C192
ESPM,194A
ESPM,194B
ESPM,195
ESPM,H196
ESPM,197
ESPM,198
ESPM,198BC
ESPM,199
ESPM,C200
ESPM,201A
ESPM,201S
ESPM,C204
ESPM,206
ESPM,215
ESPM,C220
ESPM,228
ESPM,C254
ESPM,260
ESPM,C273
ESPM,276
ESPM,280
ESPM,C282
ESPM,290
ESPM,296
ESPM,298
ESPM,299
ESPM,300
ESPM,400
ESPM,601
ESPM,602
ESPM,999
ETH STD,11AC
ETH STD,21AC
ETH STD,24
ETH STD,97
ETH STD,98
ETH STD,98BC
ETH STD,99
ETH STD,101A
ETH STD,103E
ETH STD,C126
ETH STD,144AC
ETH STD,173AC
ETH STD,190
ETH STD,196
ETH STD,H196B
ETH STD,197
ETH STD,198
ETH STD,198BC
ETH STD,199
ETH GRP,240
ETH GRP,250
ETH GRP,296
ETH GRP,299
ETH GRP,601
ETH GRP,602
FILM,R1A
FILM,R1B
FILM,25B
FILM,108
FILM,128
FILM,140
FILM,151
FILM,160
FILM,180
FILM,184
FILM,187
FILM,H195
FILM,197B
FILM,197C
FILM,198
FILM,199
FILM,201
FILM,240
FILM,298
FILM,299
FILM,602
FOLKLOR,C262B
FOLKLOR,298
FOLKLOR,299
FRENCH,1
FRENCH,2
FRENCH,3
FRENCH,4
FRENCH,13
FRENCH,14
FRENCH,35
FRENCH,102
FRENCH,103B
FRENCH,114A
FRENCH,121B
FRENCH,138
FRENCH,148
FRENCH,172A
FRENCH,174
FRENCH,177B
FRENCH,178A
FRENCH,180B
FRENCH,H195A
FRENCH,H195B
FRENCH,197
FRENCH,199
FRENCH,C203
FRENCH,210A
FRENCH,220A
FRENCH,240A
FRENCH,251
FRENCH,260B
FRENCH,275A
FRENCH,298
FRENCH,299
FRENCH,302
FRENCH,303
FRENCH,335
FRENCH,601
FRENCH,602
GWS,10
GWS,14
GWS,20
GWS,24
GWS,100AC
GWS,101
GWS,104
GWS,134
GWS,142
GWS,144
GWS,H195
GWS,C196A
GWS,C196B
GWS,C196W
GWS,200
GWS,220
LGBT,145
LGBT,146
LGBT,C148
GEOG,20
GEOG,40
GEOG,98
GEOG,C112
GEOG,130
GEOG,C135
GEOG,137
GEOG,140A
GEOG,C146
GEOG,160B
GEOG,170
GEOG,180
GEOG,181
GEOG,183
GEOG,185
GEOG,187
GEOG,H195A
GEOG,198
GEOG,199
GEOG,200B
GEOG,244
GEOG,252
GEOG,255
GEOG,296
GEOG,297
GEOG,298
GEOG,299
GEOG,301
GEOG,601
GEOG,602
GERMAN,1
GERMAN,2
GERMAN,3
GERMAN,4
GERMAN,R5B
GERMAN,39A
GERMAN,98
GERMAN,100
GERMAN,101
GERMAN,102A
GERMAN,108
GERMAN,110
GERMAN,131
GERMAN,152
GERMAN,157C
GERMAN,160C
GERMAN,160K
GERMAN,173
GERMAN,H196
GERMAN,H196A
GERMAN,H196B
GERMAN,198
GERMAN,199
GERMAN,201C
GERMAN,204
GERMAN,206
GERMAN,214
GERMAN,256
GERMAN,290
GERMAN,292
GERMAN,298
GERMAN,299
GERMAN,375B
GERMAN,602
YIDDISH,102
DUTCH,2
DUTCH,100
DUTCH,125
DUTCH,C178
DUTCH,H196
DUTCH,198
DUTCH,199
DUTCH,299
GSPDP,301
GSPDP,302
GSPDP,320
GSPDP,375
LAN PRO,100A
HMEDSCI,98
HMEDSCI,198
HISTORY,R1B
HISTORY,4B
HISTORY,5
HISTORY,6B
HISTORY,7B
HISTORY,8B
HISTORY,14
HISTORY,24
HISTORY,88
HISTORY,98BC
HISTORY,100AC
HISTORY,100AP
HISTORY,100BP
HISTORY,100D
HISTORY,100E
HISTORY,100F
HISTORY,100M
HISTORY,101
HISTORY,103A
HISTORY,103B
HISTORY,103D
HISTORY,103E
HISTORY,103F
HISTORY,103S
HISTORY,103U
HISTORY,104
HISTORY,105B
HISTORY,111D
HISTORY,112B
HISTORY,116G
HISTORY,118C
HISTORY,124B
HISTORY,125A
HISTORY,136AC
HISTORY,137AC
HISTORY,C139B
HISTORY,C139C
HISTORY,151A
HISTORY,151C
HISTORY,158C
HISTORY,160
HISTORY,164A
HISTORY,168A
HISTORY,171C
HISTORY,173C
HISTORY,178
HISTORY,180
HISTORY,180T
HISTORY,C182C
HISTORY,185A
HISTORY,C188C
HISTORY,C192
HISTORY,198BC
HISTORY,199
HISTORY,275B
HISTORY,275F
HISTORY,275S
HISTORY,280A
HISTORY,280B
HISTORY,280D
HISTORY,280F
HISTORY,280H
HISTORY,280S
HISTORY,280U
HISTORY,283
HISTORY,285B
HISTORY,285E
HISTORY,285H
HISTORY,285U
HISTORY,290
IND ENG,131
IND ENG,153
IND ENG,161
IND ENG,162
IND ENG,165
IND ENG,166
IND ENG,170
IND ENG,180
IND ENG,185
IND ENG,190A
IND ENG,190C
IND ENG,190G
IND ENG,191
IND ENG,192
IND ENG,220
IND ENG,221
IND ENG,C227B
IND ENG,C253
IND ENG,262B
IND ENG,263B
IND ENG,265
IND ENG,267
IND ENG,290
IND ENG,290R
IND ENG,298
INFO,C8
INFO,98
INFO,C103
INFO,C167
INFO,199
INFO,203
INFO,205
INFO,209
INFO,214
INFO,216
INFO,218
INFO,234
INFO,247
INFO,C265
INFO,290
INFO,290T
INFO,290TA
INFO,293
INFO,295
INFO,296A
INFO,298
INFO,298A
INFO,299
INFO,602
INTEGBI,24
INTEGBI,31
INTEGBI,32
INTEGBI,95
INTEGBI,C100
INTEGBI,103LF
INTEGBI,104LF
INTEGBI,113L
INTEGBI,C129L
INTEGBI,132
INTEGBI,132L
INTEGBI,135
INTEGBI,138
INTEGBI,140
INTEGBI,C142L
INTEGBI,C143B
INTEGBI,150
INTEGBI,166
INTEGBI,167
INTEGBI,168L
INTEGBI,169
INTEGBI,171
INTEGBI,181L
INTEGBI,190
INTEGBI,C195
INTEGBI,C200
INTEGBI,C204
INTEGBI,C227
INTEGBI,230
INTEGBI,232
INTEGBI,234
INTEGBI,246
INTEGBI,251
INTEGBI,264
INTEGBI,265
INTEGBI,281
INTEGBI,283
INTEGBI,286
INTEGBI,290
INTEGBI,291
INTEGBI,296
INTEGBI,297
INTEGBI,298
INTEGBI,299
INTEGBI,C407
INTEGBI,601
INTEGBI,602
ISF,100A
ISF,C100G
ISF,189
ISF,190
IAS,45
IAS,98
IAS,102
IAS,106
IAS,C118
IAS,150
IAS,157AC
IAS,194
IAS,206
ITALIAN,1
ITALIAN,1S
ITALIAN,2
ITALIAN,3
ITALIAN,4
ITALIAN,R5B
ITALIAN,12
ITALIAN,70
ITALIAN,97
ITALIAN,98
ITALIAN,101B
ITALIAN,103
ITALIAN,112
ITALIAN,117
ITALIAN,H195
ITALIAN,197
ITALIAN,198
ITALIAN,199
ITALIAN,C203
ITALIAN,235
ITALIAN,248
ITALIAN,260
ITALIAN,270
ITALIAN,282
ITALIAN,290B
ITALIAN,298
ITALIAN,299
ITALIAN,302
ITALIAN,303
ITALIAN,601
ITALIAN,602
JEWISH,39M
JEWISH,39N
JEWISH,101
JEWISH,120
JEWISH,200
JOURN,C141
JOURN,198
JOURN,216
JOURN,219
JOURN,220
JOURN,222
JOURN,294
JOURN,298
JOURN,299
LD ARCH,1
LD ARCH,102
LD ARCH,112
LD ARCH,121
LD ARCH,130
LD ARCH,136
LD ARCH,140
LD ARCH,160
LD ARCH,170
LD ARCH,C177
LD ARCH,200B
LD ARCH,202
LD ARCH,204
LD ARCH,205
LD ARCH,206
LD ARCH,221
LD ARCH,222
LD ARCH,226
LD ARCH,C250
LD ARCH,251
LD ARCH,253
LD ARCH,254
LD ARCH,255
LD ARCH,297
LD ARCH,298
LD ARCH,300
LD ARCH,602
LATAMST,150
LATAMST,H195
LATAMST,299
LEGALST,R1B
LEGALST,98
LEGALST,107
LEGALST,132AC
LEGALST,138
LEGALST,153
LEGALST,154
LEGALST,160
LEGALST,174
LEGALST,177
LEGALST,187
LEGALST,190
LEGALST,H195B
LEGALST,198
LEGALST,199
L & S,22
L & S,25
L & S,C30V
L & S,C46
L & S,70A
L & S,C70T
L & S,C101
L & S,105
L & S,125
L & S,160B
L & S,C160V
L & S,C180U
LINGUIS,R1B
LINGUIS,1B
LINGUIS,5
LINGUIS,11
LINGUIS,24
LINGUIS,51
